Screen Name,User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Phone Type,Hashtags
AlexFL23,b'Floridaman',8/15/2019 17:54,b'@AndrewYang If automation is such a problem and jobs are being taken away by robots why would we have an open borders policy which will bring more people in? Why bring in more people when robots are taking away the jobs?',b'Florida ',0,b'Twitter Web App',nan
Tony_Porras2050,b'Tony Porras \xf0\x9f\x8d\x91#AllInForYang2020',8/15/2019 17:45,"b""RT @AndrewYang: It's not immigrants, it's robots and machines. We must reject xenophobia and focus on the real threat to the jobs of millio\xe2\x80\xa6""","b'California, USA'",688,b'Twitter for Android',nan
MarionThorpe,b'Dr. Marion Thorpe',8/15/2019 15:40,"b'https://t.co/9pzJQCDTLI \n\nI like the fact that .@AndrewYang has an eye towards the future:\n\n""#FreedomDividend is necessary as robots and automation replace human workers more rapidly than people can find and be retrained for new jobs""\n\n#2020 #Democrat #Primary #Election #USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8'",b'Florida',0,b'Twitter for Android', FreedomDividend Democrat Primary Election USA
CroserMike,b'Mike Croser',8/15/2019 14:47,b'RT @HarbRimah: #Robots can perform 25% of Americans jobs today via \n@Paula_Piccard\n\n#AI #hrtech #RPA  \n@Julez_Norton\n@JGrobicki\n \n@mvollmer\xe2\x80\xa6',b'Ukraine',4,b'Twitter Web App', Robots AI hrtech RPA
Elfdemon_,b'Elfdemon',8/15/2019 12:39,"b""RT @AndrewYang: It's not immigrants, it's robots and machines. We must reject xenophobia and focus on the real threat to the jobs of millio\xe2\x80\xa6""","b'California, United States'",688,b'Twitter for iPhone',nan
WalkoutStudents,b'Students Walkout',8/15/2019 11:35,"b""RT @AndrewYang: It's not immigrants, it's robots and machines. We must reject xenophobia and focus on the real threat to the jobs of millio\xe2\x80\xa6""",b'USA',688,b'Echofon',nan
oliviaespinosa6,b'OLIMIX2019',8/15/2019 7:32,b'RT @DalithSteiger: #AIBest of @Ronald_vanLoon \nhttps://t.co/GGvhbS5vkh \nThe 7 Jobs That Will Be Killed First by #Robots\n by @pierrepinna @i\xe2\x80\xa6',b'Hamburg Germany',11,b'Twitter for Android', AIBest Robots
Aracely74878500,b'Aracely Vera',8/15/2019 6:20,"b""RT @AndrewYang: It's not immigrants, it's robots and machines. We must reject xenophobia and focus on the real threat to the jobs of millio\xe2\x80\xa6""",b'',688,b'Twitter for Android',nan
DME_Jun,b'DME Intelligence',8/8/2019 19:10,b'RT @HeartIn_net: Magnetically Controlled Soft Robots to Operate on Human Body  #CardiacSurgery #Materials #PlasticSurg #fitness #health #tr\xe2\x80\xa6',"b'Boston, MA'",1,b'DME Intelligence_Jun', CardiacSurgery Materials PlasticSurg fitness health
MusaNtshapheka,b'Musa',8/17/2019 8:32,b'RT @MikeQuindazzi: 4 steps to #digital upskill #talent in the #enterprise &gt;&gt;&gt; @MikeQuindazzi &gt;&gt;&gt;  #ai #machinelearning #iot #futureofwork #\xe2\x80\xa6',"b'Durban, South Africa'",34,b'Twitter for Android', digital talent enterprise ai machinelearning iot futureofwork
AdaptiveToolbox,b'AdaptiveBox',8/17/2019 7:45,b'RT @HeartIn_net: CashMD launches price transparency tool #Engage4Health  #fitness #health #training #healthy #healthylifestyle #cardio #hea\xe2\x80\xa6',b'USA',2,b'AdaBox1', Engage4Health fitness health training healthy healthylifestyle cardio
DME_Jun,b'DME Intelligence',8/17/2019 6:54,b'RT @HeartIn_net: CashMD launches price transparency tool #Engage4Health  #fitness #health #training #healthy #healthylifestyle #cardio #hea\xe2\x80\xa6',"b'Boston, MA'",2,b'DME Intelligence_Jun', Engage4Health fitness health training healthy healthylifestyle cardio
DME_Jun,b'DME Intelligence',8/17/2019 6:24,b'RT @HeartIn_net: MyHealthTeams rakes in $9.44M in a Series B round led by UCB #HITventure #Engage4Health  #fitness #health #training #healt\xe2\x80\xa6',"b'Boston, MA'",2,b'DME Intelligence_Jun', HITventure Engage4Health fitness health training
SeetaLabs,b'SeetaLabs',8/17/2019 6:13,b'RT @HeartIn_net: MyHealthTeams rakes in $9.44M in a Series B round led by UCB #HITventure #Engage4Health  #fitness #health #training #healt\xe2\x80\xa6',b'',2,b'Tweet1425526', HITventure Engage4Health fitness health training
DME_Jun,b'DME Intelligence',8/17/2019 5:55,"b""RT @HeartIn_net: Two of the country's largest health information exchanges team up to share data on Midwest patients // #fitness #health #t\xe2\x80\xa6""","b'Boston, MA'",1,b'DME Intelligence_Jun', fitness health
DME_Jun,b'DME Intelligence',8/17/2019 5:24,"b""RT @HeartIn_net: The U.S. Food and Drug Administration's Oncology Center of Excellence is embarking on a multi-year research partnership w\xe2\x80\xa6""","b'Boston, MA'",1,b'DME Intelligence_Jun',nan
