User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Polarity,Subjectivity
DataBaaz,7/21/2019 5:33,here's why is chandrayaan2 going to land on the moon's south polar region: -no country has explored it. its uncharted territory. -its always in shadow &amp; there is a high possibility of the presence of water -it has craters that could have fossil records of our solar system ,"Mumbai, India",1,0.03833333333333334,0.39499999999999996
APN NEWS,7/21/2019 5:30,"india’s lander mission to moon chandrayaan2 all set to take off tomorrow afternoon, at 2.43 pm. ","A-009, SEC-68 , NOIDA",0,0.0,0.0
moneycontrol,7/21/2019 5:30,chandrayaan2 has been rescheduled to take place at 2.43 pm on july 22. watch to find out more ,Mumbai,0,0.5,0.5
Dr Subroto Roy,7/21/2019 5:28,"nice that the ""technical snag"" of chandrayaan2 chandrayaan2themoon chandrayaan gets over just after the apollo50th apollo11anniversary apollo50 celebration passes... ""finds tongues in trees, books in the running brooks, sermons in stones, and good in everything..."" ",nan,0,0.4333333333333333,0.5666666666666668
Abhinav Billaiya 🌠,7/21/2019 5:27,countdown begins chandrayaan2 . all the best $isro 💐 isromissions isro ,Bhopal,0,1.0,0.3
Siddharth Rout,7/21/2019 5:20,chandrayaan2 we should take action on channel like ndtv or other such channel who defaming gslv mk iii .. we have success rate 100% .. so foreign country can fullfil there need from isro not in falcon like product. we can research on those money.. for new dream,भारत,0,0.04772727272727273,0.2590909090909091
Pʀᴀsʜᴀɴᴛ Dᴇsᴀɪ 🇮🇳,7/21/2019 5:20," we hope this time ""all is well"". ♥️🇮🇳 chandrayaan2",Mumbai,0,0.0,0.0
Pʀᴀsʜᴀɴᴛ Dᴇsᴀɪ 🇮🇳,7/21/2019 5:19," we hope this time ""all is well"". ♥️🇮🇳 chandrayaan2",Mumbai,0,0.0,0.0
The Quint,7/21/2019 5:16,"after chandrayaan2 was called off with the isro claiming that it would now be launched on 22 july, it’s been revealed that the ‘technical snag’ that caused the delay was due to a pressure drop in one of the helium tanks. ",nan,3,-0.0625,0.2375
Times of India,7/21/2019 5:15,chandrayaan2 normal after launch rehearsal read: isromissions isro ,New Delhi,17,0.15,0.6499999999999999
Praveen Sikkapatte🌍 ಪ್ರವೀಣ್ ಸಿಕ್ಕಾಪಟ್ಟೆ,7/21/2019 5:12,"launch rehearsal of gslvmkiii-m1 / chandrayaan2 mission completed, performance normal isro what an achievement by isro indians talents outstanding ",BANGALORE,0,0.325,0.7625
OneIndia,7/21/2019 5:11,"chandrayaan-2 mission launch rehearsal completed, says isro chandrayaan2",India,2,0.0,0.0
