Screen Name,User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Phone Type
Shan10_G,Shan G 🌞,7/20/2019 15:54,"@Prakashukla @TheRealBuzz @NASA Perfectly #Appollo50 👌💐
What a coincidence to celebrate with #Chandrayaan2 #ISROMissions https://t.co/UYa9fMhJZV","Hyderabad, India",0,Twitter for Android
RameshKollana,Ramesh Kollana,7/20/2019 15:52,"""Eagle has landed"" - historic moment for Space Research. @NASA #Apollo50 @isro #Chandrayaan2 @_neilarmstrong @TheRealBuzz https://t.co/msMFVqllAh",Bhubaneswar,0,Twitter for iPad
PJRHYD,PJRHYD... Abki Baar 300 Paar....,7/20/2019 15:50,"hahaha...... @isro is there a provision to tie this guy to #Chandrayaan2 spacecraft, so that he can come back and tell his people there was no allah or jannath or 72 virgins, for whose sake #islamic terrorism is being spread... @isro its a chance to stop terrorism in the world.. https://t.co/ZtSZ0q2Zsk",Hyderabad,0,Twitter Web Client
Doctor_Astro,Dr. Anita Sengupta,7/20/2019 15:45,"As we celebrate #Apollo50th let us also celebrate the future of international lunar exploration
 #Chandrayaan2 led by #RocketWomen #IndiatotheMoon
@WomenYSK 
https://t.co/Urg5W3WWDo",Alpha Quadrant,13,Twitter for Android
DILIPKUMAR9990,DILIP SINGH KUMAR,7/20/2019 15:43,"When the Rover touches down, 🇮🇳India will step into history.

#Chandrayaan2 takes off for the 🌚Moon on Monday.

Watch the take-off on #PIB📺. Tune in Live at 2:15 pm on 🗓️22 July @isro https://t.co/tIqk4OF7Bo","बिहार, DELHI ,India ",0,Twitter for Android
arshadkhanzaee,Arshad Khan Zaee,7/20/2019 15:38,"India will be over the moon Inshallah 
#Chandrayaan2 #ISRO",,0,Twitter for Android
Doctor_Astro,Dr. Anita Sengupta,7/20/2019 15:32,Mission design updates for #Chandrayaan2 from @firstpost article. New optimization to protect length of lunar surface operations! #indiatothemoon @spacenewsnow https://t.co/pPaUB44Wqp,Alpha Quadrant,2,Twitter for Android
DDNational,Doordarshan National,7/20/2019 15:30,"MUST WATCH -
Curtain Raiser- #GSLVMkIII -M1/#Chandrayaan2 Mission - #ISRO TONIGHT at 9:55 pm on @DDNational
 
#Chandrayaan @isro https://t.co/NoobnbugmB",New Delhi,20,TweetDeck
Doctor_Astro,Dr. Anita Sengupta,7/20/2019 15:29,"Thorough article in @firstpost that details updated #Chandrayaan2 mission design for EPO, LTO, and operations around moon!

https://t.co/PZpCswSrcc",Alpha Quadrant,4,Twitter for Android
Doctor_Astro,Dr. Anita Sengupta,7/20/2019 15:27,"Video of CONOPS for all mission segments of #Chandrayaan2 including #Vikram and #Pragyan 
T minus 42 hours https://t.co/SEZ4F67O8n",Alpha Quadrant,2,Twitter for Android
